miRNA,PMID,Entrez Gene Id
hsa-let-7a,17308078,152663
hsa-let-7a,17308078,157638
hsa-let-7a,17308078,160287
hsa-let-7a,17308078,160760
hsa-let-7a,17308078,169792
hsa-let-7a,17308078,171177
hsa-let-7a,17308078,221662
hsa-let-7a,17308078,266740
hsa-let-7a,17308078,284996
hsa-let-7a,17308078,285761
hsa-let-7a,17308078,360200
hsa-let-7a,17308078,388474
hsa-let-7a,17308078,388610
hsa-let-7a,17308078,441034
hsa-let-7a,17308078,441282
hsa-let-7a,17308078,642975
hsa-let-7a,17308078,644029
hsa-let-7a,17308078,645822
hsa-let-7a,17308078,646243
hsa-let-7a,17308078,728139
hsa-let-7a,17308078,728992
hsa-let-7b,17699775,91
hsa-let-7b,17699775,214
hsa-let-7b,17699775,218
hsa-let-7b,17699775,316
hsa-let-7b,17699775,360
hsa-let-7b,17699775,734
hsa-let-7b,17699775,890
hsa-let-7b,17699775,928
hsa-let-7b,17699775,978
hsa-let-7b,17699775,997
hsa-let-7b,17699775,1024
hsa-let-7b,17699775,1287
hsa-let-7b,17699775,1291
hsa-let-7b,17699775,1371
hsa-let-7b,17699775,1503
hsa-let-7b,17699775,1577
hsa-let-7b,17699775,1604
hsa-let-7b,17699775,1644
hsa-let-7b,17699775,1798
hsa-let-7b,17699775,1875
hsa-let-7b,17699775,2149
hsa-let-7b,17699775,2531
hsa-let-7b,17699775,2582
hsa-let-7b,17699775,2635
hsa-let-7b,17699775,2720
hsa-let-7b,17699775,2782
hsa-let-7b,17699775,2787
hsa-let-7b,17699775,3070
hsa-let-7b,17699775,3098
hsa-let-7b,17699775,3161
hsa-let-7b,17699775,3183
hsa-let-7b,17699775,3484
hsa-let-7b,17699775,3572
hsa-let-7b,17699775,3673
hsa-let-7b,17699775,3866
hsa-let-7b,17699775,3958
hsa-let-7b,17699775,4017
hsa-let-7b,17699775,4054
hsa-let-7b,17699775,4162
hsa-let-7b,17699775,4277
hsa-let-7b,17699775,4493
hsa-let-7b,17699775,4494
hsa-let-7b,17699775,4496
hsa-let-7b,17699775,4498
hsa-let-7b,17699775,4500
hsa-let-7b,17699775,4501
hsa-let-7b,17699775,4502
hsa-let-7b,17699775,4642
hsa-let-7b,17699775,4673
hsa-let-7b,17699775,4752
hsa-let-7b,17699775,4811
hsa-let-7b,17699775,4928
hsa-let-7b,17699775,5277
hsa-let-7b,17699775,5325
hsa-let-7b,17699775,5326
hsa-let-7b,17699775,5328
hsa-let-7b,17699775,5433
hsa-let-7b,17699775,5531
hsa-let-7b,17699775,5576
hsa-let-7b,17699775,5814
hsa-let-7b,17699775,5912
hsa-let-7b,17699775,6016
hsa-let-7b,17699775,6303
hsa-let-7b,17699775,6790
hsa-let-7b,17699775,6791
hsa-let-7b,17699775,6876
hsa-let-7b,17699775,7037
hsa-let-7b,17699775,7533
hsa-let-7b,17699775,7812
hsa-let-7b,17699775,8226
hsa-let-7b,17699775,8434
hsa-let-7b,17699775,8462
hsa-let-7b,17699775,8634
hsa-let-7b,17699775,8761
hsa-let-7b,17699775,8773
hsa-let-7b,17699775,8792
hsa-let-7b,17699775,8884
hsa-let-7b,17699775,9143
hsa-let-7b,17699775,9212
hsa-let-7b,17699775,9296
hsa-let-7b,17699775,9444
hsa-let-7b,17699775,9522
hsa-let-7b,17699775,9556
hsa-let-7b,17699775,9615
hsa-let-7b,17699775,9645
hsa-let-7b,17699775,9718
hsa-let-7b,17699775,9770
hsa-let-7b,17699775,9781
hsa-let-7b,17699775,10001
hsa-let-7b,17699775,10079
hsa-let-7b,17699775,10114
hsa-let-7b,17699775,10123
hsa-let-7b,17699775,10165
hsa-let-7b,17699775,10201
hsa-let-7b,17699775,10397
hsa-let-7b,17699775,10610
hsa-let-7b,17699775,10642
hsa-let-7b,17699775,10644
hsa-let-7b,17699775,10857
hsa-let-7b,17699775,10926
hsa-let-7b,17699775,11010
hsa-let-7b,17699775,11030
hsa-let-7b,17699775,11046
hsa-let-7b,17699775,11157
hsa-let-7b,17699775,11224
hsa-let-7b,17699775,23157
hsa-let-7b,17699775,23198
hsa-let-7b,17699775,23405
hsa-let-7b,17699775,23446
hsa-let-7b,17699775,23484
hsa-let-7b,17699775,23516
hsa-let-7b,17699775,26065
hsa-let-7b,17699775,26147
hsa-let-7b,17699775,27122
hsa-let-7b,17699775,27131
hsa-let-7b,17699775,27161
hsa-let-7b,17699775,27230
hsa-let-7b,17699775,27327
hsa-let-7b,17699775,29108
hsa-let-7b,17699775,29957
hsa-let-7b,17699775,29974
hsa-let-7b,17699775,30001
hsa-let-7b,17699775,50484
hsa-let-7b,17699775,51053
hsa-let-7b,17699775,51128
hsa-let-7b,17699775,51290
hsa-let-7b,17699775,51315
hsa-let-7b,17699775,51542
hsa-let-7b,17699775,55137
hsa-let-7b,17699775,55240
hsa-let-7b,17699775,55247
hsa-let-7b,17699775,55314
hsa-let-7b,17699775,55323
hsa-let-7b,17699775,55332
hsa-let-7b,17699775,55454
hsa-let-7b,17699775,55731
hsa-let-7b,17699775,56241
hsa-let-7b,17699775,56647
hsa-let-7b,17699775,57213
hsa-let-7b,17699775,57380
hsa-let-7b,17699775,57508
hsa-let-7b,17699775,57552
hsa-let-7b,17699775,57835
hsa-let-7b,17699775,58488
hsa-let-7b,17699775,60496
hsa-let-7b,17699775,60559
hsa-let-7b,17699775,64224
hsa-let-7b,17699775,64750
hsa-let-7b,17699775,64766
hsa-let-7b,17699775,65082
hsa-let-7b,17699775,79760
hsa-let-7b,17699775,79874
hsa-let-7b,17699775,79993
hsa-let-7b,17699775,80155
hsa-let-7b,17699775,81034
hsa-let-7b,17699775,81627
hsa-let-7b,17699775,83442
hsa-let-7b,17699775,83608
hsa-let-7b,17699775,83640
hsa-let-7b,17699775,83695
hsa-let-7b,17699775,83959
hsa-let-7b,17699775,84135
hsa-let-7b,17699775,84240
hsa-let-7b,17699775,84285
hsa-let-7b,17699775,84816
hsa-let-7b,17699775,84910
hsa-let-7b,17699775,89927
hsa-let-7b,17699775,91408
hsa-let-7b,17699775,91750
hsa-let-7b,17699775,92092
hsa-let-7b,17699775,112950
hsa-let-7b,17699775,113115
hsa-let-7b,17699775,116447
hsa-let-7b,17699775,117145
hsa-let-7b,17699775,123264
hsa-let-7b,17699775,127933
hsa-let-7b,17699775,130271
hsa-let-7b,17699775,132720
hsa-let-7b,17699775,140851
hsa-let-7b,17699775,145567
hsa-let-7b,17699775,151188
hsa-let-7b,17699775,152845
hsa-let-7b,17699775,153339
hsa-let-7b,17699775,219771
hsa-let-7b,17699775,285367
hsa-let-7b,17699775,285381
hsa-let-7b,17699775,340252
hsa-let-7b,17699775,388115
hsa-let-7b,17699775,389421
hsa-let-7b,17699775,440737
hsa-let-7b,17699775,644504
hsa-let-7b,17699775,646766
hsa-let-7b,17699775,653583
hsa-let-7b,17699775,100129118
hsa-let-7b,17699775,100131401
hsa-let-7b,17699775,100132911
hsa-let-7b,17699775,100133690
hsa-let-7c,17242205,997
hsa-let-7c,17242205,1108
hsa-let-7c,17242205,1305
hsa-let-7c,17242205,1371
hsa-let-7c,17242205,1852
hsa-let-7c,17242205,1958
hsa-let-7c,17242205,2582
hsa-let-7c,17242205,2787
hsa-let-7c,17242205,3038
hsa-let-7c,17242205,3161
hsa-let-7c,17242205,3204
hsa-let-7c,17242205,3205
hsa-let-7c,17242205,3783
hsa-let-7c,17242205,4277
hsa-let-7c,17242205,4673
hsa-let-7c,17242205,4893
hsa-let-7c,17242205,5597
hsa-let-7c,17242205,6303
hsa-let-7c,17242205,6895
hsa-let-7c,17242205,7046
hsa-let-7c,17242205,8091
hsa-let-7c,17242205,8226
hsa-let-7c,17242205,8884
hsa-let-7c,17242205,9212
hsa-let-7c,17242205,9518
hsa-let-7c,17242205,9540
hsa-let-7c,17242205,10397
hsa-let-7c,17242205,10644
hsa-let-7c,17242205,10755
hsa-let-7c,17242205,10857
hsa-let-7c,17242205,11108
hsa-let-7c,17242205,22836
hsa-let-7c,17242205,23484
hsa-let-7c,17242205,26136
hsa-let-7c,17242205,51170
hsa-let-7c,17242205,51200
hsa-let-7c,17242205,51246
hsa-let-7c,17242205,51292
hsa-let-7c,17242205,51542
hsa-let-7c,17242205,54432
hsa-let-7c,17242205,56997
hsa-let-7c,17242205,57508
hsa-let-7c,17242205,60496
hsa-let-7c,17242205,64418
hsa-let-7c,17242205,79413
hsa-let-7c,17242205,83640
hsa-let-7c,17242205,84285
hsa-let-7c,17242205,84640
hsa-let-7c,17242205,84951
hsa-let-7c,17242205,84962
hsa-let-7c,17242205,112479
hsa-let-7c,17242205,255738
hsa-miR-1,15685193,103
hsa-miR-1,18461144,103
hsa-miR-1,18461144,302
hsa-miR-1,18461144,303
hsa-miR-1,18461144,304
hsa-miR-1,15685193,372
hsa-miR-1,18461144,376
hsa-miR-1,15685193,377
hsa-miR-1,15685193,378
hsa-miR-1,15685193,558
hsa-miR-1,18461144,767
hsa-miR-1,15685193,1182
hsa-miR-1,18461144,1652
hsa-miR-1,15685193,1655
hsa-miR-1,15685193,1665
hsa-miR-1,18461144,1875
hsa-miR-1,18461144,1939
hsa-miR-1,18461144,2079
hsa-miR-1,15685193,2199
hsa-miR-1,15685193,2643
hsa-miR-1,18461144,2697
hsa-miR-1,15685193,3013
hsa-miR-1,15685193,3020
hsa-miR-1,15685193,3021
hsa-miR-1,18461144,3021
hsa-miR-1,18461144,3400
hsa-miR-1,15685193,3796
hsa-miR-1,15685193,3927
hsa-miR-1,18461144,4201
hsa-miR-1,15685193,4580
hsa-miR-1,18461144,4580
hsa-miR-1,15685193,4860
hsa-miR-1,15685193,4942
hsa-miR-1,18461144,5201
hsa-miR-1,15685193,5218
hsa-miR-1,18461144,5226
hsa-miR-1,15685193,5268
